output-code-1.txt vs output-code-88.txt: 913/7011;Percent similarity is 13.022393381828557
output-code-1.txt vs output-code-89.txt: 1254/9690;Percent similarity is 12.941176470588237
output-code-1.txt vs output-code-90.txt: 1389/10944;Percent similarity is 12.69188596491228
output-code-1.txt vs output-code-91.txt: 647/4845;Percent similarity is 13.353973168214656
output-code-1.txt vs output-code-92.txt: 1730/13509;Percent similarity is 12.806277296617068
output-code-1.txt vs output-code-93.txt: 873/6726;Percent similarity is 12.979482604817127
output-code-1.txt vs output-code-94.txt: 824/6327;Percent similarity is 13.023549865655129
output-code-1.txt vs output-code-95.txt: 1211/9405;Percent similarity is 12.876129718234983
output-code-1.txt vs output-code-96.txt: 744/5700;Percent similarity is 13.052631578947368
output-code-1.txt vs output-code-97.txt: 712/5415;Percent similarity is 13.14866112650046
output-code-1.txt vs output-code-98.txt: 567/4218;Percent similarity is 13.442389758179232
output-code-2.txt vs output-code-4.txt: 738/5632;Percent similarity is 13.103693181818182
output-code-2.txt vs output-code-5.txt: 2373/18048;Percent similarity is 13.148271276595743
output-code-2.txt vs output-code-6.txt: 699/5376;Percent similarity is 13.002232142857142
output-code-2.txt vs output-code-7.txt: 1088/8320;Percent similarity is 13.076923076923078
output-code-2.txt vs output-code-8.txt: 2170/16384;Percent similarity is 13.24462890625
output-code-2.txt vs output-code-9.txt: 1955/14848;Percent similarity is 13.16675646551724
output-code-2.txt vs output-code-10.txt: 1844/13952;Percent similarity is 13.216743119266056
output-code-2.txt vs output-code-11.txt: 1052/8064;Percent similarity is 13.045634920634921
output-code-2.txt vs output-code-12.txt: 1293/9856;Percent similarity is 13.118912337662339
output-code-2.txt vs output-code-13.txt: 1592/12032;Percent similarity is 13.231382978723405
output-code-2.txt vs output-code-14.txt: 1340/10240;Percent similarity is 13.0859375
output-code-2.txt vs output-code-15.txt: 1636/12416;Percent similarity is 13.176546391752577
output-code-2.txt vs output-code-16.txt: 2194/16512;Percent similarity is 13.287306201550386
output-code-2.txt vs output-code-17.txt: 1654/12544;Percent similarity is 13.185586734693878
output-code-2.txt vs output-code-18.txt: 2134/16128;Percent similarity is 13.231646825396826
output-code-2.txt vs output-code-19.txt: 1125/8576;Percent similarity is 13.118003731343283
output-code-2.txt vs output-code-20.txt: 2195/16512;Percent similarity is 13.293362403100776
output-code-2.txt vs output-code-21.txt: 1399/10624;Percent similarity is 13.168298192771086
output-code-2.txt vs output-code-22.txt: 2548/19584;Percent similarity is 13.01062091503268
output-code-2.txt vs output-code-23.txt: 2889/22272;Percent similarity is 12.97144396551724
output-code-2.txt vs output-code-24.txt: 1880/14208;Percent similarity is 13.231981981981983
output-code-2.txt vs output-code-25.txt: 1259/9600;Percent similarity is 13.114583333333332
output-code-2.txt vs output-code-26.txt: 650/4992;Percent similarity is 13.020833333333334
output-code-2.txt vs output-code-27.txt: 1361/10368;Percent similarity is 13.126929012345679
output-code-2.txt vs output-code-28.txt: 2417/18432;Percent similarity is 13.11306423611111
output-code-2.txt vs output-code-29.txt: 1740/13184;Percent similarity is 13.197815533980584
output-code-2.txt vs output-code-31.txt: 952/7296;Percent similarity is 13.048245614035087
output-code-2.txt vs output-code-32.txt: 1960/14848;Percent similarity is 13.20043103448276
output-code-2.txt vs output-code-33.txt: 1053/8064;Percent similarity is 13.058035714285715
output-code-2.txt vs output-code-34.txt: 2051/15488;Percent similarity is 13.242510330578513
output-code-2.txt vs output-code-35.txt: 2859/22016;Percent similarity is 12.986010174418606
output-code-2.txt vs output-code-36.txt: 697/5376;Percent similarity is 12.965029761904761
output-code-2.txt vs output-code-37.txt: 2020/15232;Percent similarity is 13.26155462184874
output-code-2.txt vs output-code-40.txt: 2903/22400;Percent similarity is 12.959821428571427
output-code-2.txt vs output-code-41.txt: 2424/18432;Percent similarity is 13.151041666666666
output-code-2.txt vs output-code-42.txt: 2952/22784;Percent similarity is 12.956460674157302
output-code-2.txt vs output-code-43.txt: 2407/18304;Percent similarity is 13.15013111888112
output-code-2.txt vs output-code-44.txt: 2433/18560;Percent similarity is 13.108836206896552
output-code-2.txt vs output-code-45.txt: 1324/10112;Percent similarity is 13.093354430379748
output-code-2.txt vs output-code-46.txt: 1307/9984;Percent similarity is 13.090945512820513
output-code-2.txt vs output-code-48.txt: 1764/13312;Percent similarity is 13.251201923076922
output-code-2.txt vs output-code-49.txt: 1207/9216;Percent similarity is 13.096788194444445
output-code-2.txt vs output-code-50.txt: 1603/12160;Percent similarity is 13.182565789473685
output-code-2.txt vs output-code-51.txt: 421/3456;Percent similarity is 12.181712962962964
output-code-2.txt vs output-code-52.txt: 1323/10112;Percent similarity is 13.083465189873417
output-code-2.txt vs output-code-53.txt: 1778/13440;Percent similarity is 13.229166666666666
output-code-2.txt vs output-code-54.txt: 1667/12672;Percent similarity is 13.154987373737374
output-code-2.txt vs output-code-55.txt: 1570/11904;Percent similarity is 13.188844086021506
output-code-2.txt vs output-code-56.txt: 684/5248;Percent similarity is 13.033536585365853
output-code-2.txt vs output-code-57.txt: 2196/16512;Percent similarity is 13.299418604651162
output-code-2.txt vs output-code-58.txt: 1360/10368;Percent similarity is 13.117283950617283
output-code-2.txt vs output-code-60.txt: 931/7040;Percent similarity is 13.224431818181817
output-code-2.txt vs output-code-62.txt: 1722/13056;Percent similarity is 13.189338235294118
output-code-2.txt vs output-code-63.txt: 1570/11904;Percent similarity is 13.188844086021506
output-code-2.txt vs output-code-64.txt: 1189/9088;Percent similarity is 13.08318661971831
output-code-2.txt vs output-code-65.txt: 1789/13568;Percent similarity is 13.185436320754718
output-code-2.txt vs output-code-67.txt: 2906/22400;Percent similarity is 12.973214285714285
output-code-2.txt vs output-code-68.txt: 5463/43264;Percent similarity is 12.627126479289942
output-code-2.txt vs output-code-69.txt: 135/1152;Percent similarity is 11.71875
output-code-2.txt vs output-code-70.txt: 1931/14592;Percent similarity is 13.233278508771928
output-code-2.txt vs output-code-71.txt: 1704/12928;Percent similarity is 13.180693069306932
output-code-2.txt vs output-code-72.txt: 807/6144;Percent similarity is 13.134765625
output-code-2.txt vs output-code-73.txt: 2686/20736;Percent similarity is 12.953317901234568
output-code-2.txt vs output-code-74.txt: 1568/11904;Percent similarity is 13.172043010752688
output-code-2.txt vs output-code-75.txt: 1863/14080;Percent similarity is 13.231534090909092
output-code-2.txt vs output-code-76.txt: 588/4608;Percent similarity is 12.760416666666666
output-code-2.txt vs output-code-77.txt: 648/4992;Percent similarity is 12.980769230769232
output-code-2.txt vs output-code-78.txt: 1444/11008;Percent similarity is 13.117732558139537
output-code-2.txt vs output-code-79.txt: 2053/15488;Percent similarity is 13.255423553719009
output-code-2.txt vs output-code-80.txt: 2097/15872;Percent similarity is 13.211945564516128
output-code-2.txt vs output-code-82.txt: 1310/9984;Percent similarity is 13.120993589743591
output-code-2.txt vs output-code-83.txt: 2857/22016;Percent similarity is 12.976925872093023
output-code-2.txt vs output-code-84.txt: 1846/13952;Percent similarity is 13.231077981651376
output-code-2.txt vs output-code-85.txt: 1703/12928;Percent similarity is 13.172957920792081
output-code-2.txt vs output-code-86.txt: 892/6784;Percent similarity is 13.148584905660377
output-code-2.txt vs output-code-87.txt: 1511/11520;Percent similarity is 13.116319444444443
output-code-2.txt vs output-code-88.txt: 2083/15744;Percent similarity is 13.230436991869917
output-code-2.txt vs output-code-89.txt: 2825/21760;Percent similarity is 12.982536764705882
output-code-2.txt vs output-code-90.txt: 3160/24576;Percent similarity is 12.858072916666666
