c,r,m
"<Node id=10562 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15690 start_node_id=10562 end_node_id=10561 nodes=(10562, 10561) type=Wire properties={'index': 0}>","<Node id=10561 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15642 start_node_id=10543 end_node_id=10562 nodes=(10543, 10562) type=Contains properties={}>","<Node id=10562 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10555 labels={'Opo'} properties={'name': 'N', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15676 start_node_id=10555 end_node_id=10562 nodes=(10555, 10562) type=Wire properties={}>","<Node id=10562 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15643 start_node_id=10543 end_node_id=10563 nodes=(10543, 10563) type=Contains properties={'index': 4}>","<Node id=10563 labels={'Expression'} properties={'name': 'Expression26', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10563 labels={'Expression'} properties={'name': 'Expression26', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15692 start_node_id=10563 end_node_id=10564 nodes=(10563, 10564) type=Port_Of properties={}>","<Node id=10564 labels={'Opo'} properties={'name': 'dSdt', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10600 labels={'Abstract'} properties={'name': 'pack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': '[]', 'value_type': 'List'}, 'order_box': 0}>","<Relationship id=15781 start_node_id=10600 end_node_id=10564 nodes=(10600, 10564) type=Wire properties={'index': 0}>","<Node id=10564 labels={'Opo'} properties={'name': 'dSdt', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10563 labels={'Expression'} properties={'name': 'Expression26', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15693 start_node_id=10563 end_node_id=10565 nodes=(10563, 10565) type=Port_Of properties={}>","<Node id=10565 labels={'Opi'} properties={'name': 'un-named', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10569 labels={'Primitive'} properties={'name': 'ast.USub', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15704 start_node_id=10569 end_node_id=10565 nodes=(10569, 10565) type=Wire properties={'index': 0}>","<Node id=10565 labels={'Opi'} properties={'name': 'un-named', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10563 labels={'Expression'} properties={'name': 'Expression26', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15694 start_node_id=10563 end_node_id=10566 nodes=(10563, 10566) type=Port_Of properties={}>","<Node id=10566 labels={'Opi'} properties={'name': 'S', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10570 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15706 start_node_id=10570 end_node_id=10566 nodes=(10570, 10566) type=Wire properties={'index': 1}>","<Node id=10566 labels={'Opi'} properties={'name': 'S', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10563 labels={'Expression'} properties={'name': 'Expression26', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15695 start_node_id=10563 end_node_id=10567 nodes=(10563, 10567) type=Port_Of properties={}>","<Node id=10567 labels={'Opi'} properties={'name': 'I', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10571 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15709 start_node_id=10571 end_node_id=10567 nodes=(10571, 10567) type=Wire properties={'index': 1}>","<Node id=10567 labels={'Opi'} properties={'name': 'I', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10563 labels={'Expression'} properties={'name': 'Expression26', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15696 start_node_id=10563 end_node_id=10568 nodes=(10563, 10568) type=Port_Of properties={}>","<Node id=10568 labels={'Opi'} properties={'name': 'un-named', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10572 labels={'Primitive'} properties={'name': 'ast.Div', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15712 start_node_id=10572 end_node_id=10568 nodes=(10572, 10568) type=Wire properties={'index': 1}>","<Node id=10568 labels={'Opi'} properties={'name': 'un-named', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15645 start_node_id=10543 end_node_id=10569 nodes=(10543, 10569) type=Contains properties={}>","<Node id=10569 labels={'Primitive'} properties={'name': 'ast.USub', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10570 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15707 start_node_id=10570 end_node_id=10569 nodes=(10570, 10569) type=Wire properties={'index': 0}>","<Node id=10569 labels={'Primitive'} properties={'name': 'ast.USub', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15646 start_node_id=10543 end_node_id=10570 nodes=(10543, 10570) type=Contains properties={}>","<Node id=10570 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10571 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15710 start_node_id=10571 end_node_id=10570 nodes=(10571, 10570) type=Wire properties={'index': 0}>","<Node id=10570 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15647 start_node_id=10543 end_node_id=10571 nodes=(10543, 10571) type=Contains properties={}>","<Node id=10571 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10572 labels={'Primitive'} properties={'name': 'ast.Div', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15713 start_node_id=10572 end_node_id=10571 nodes=(10572, 10571) type=Wire properties={'index': 0}>","<Node id=10571 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15648 start_node_id=10543 end_node_id=10572 nodes=(10543, 10572) type=Contains properties={}>","<Node id=10572 labels={'Primitive'} properties={'name': 'ast.Div', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10564 labels={'Opo'} properties={'name': 'dSdt', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15697 start_node_id=10564 end_node_id=10572 nodes=(10564, 10572) type=Wire properties={}>","<Node id=10572 labels={'Primitive'} properties={'name': 'ast.Div', 'order_att': 4, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15650 start_node_id=10543 end_node_id=10573 nodes=(10543, 10573) type=Contains properties={'index': 5}>","<Node id=10573 labels={'Expression'} properties={'name': 'Expression41', 'order_att': 5, 'value': '', 'order_box': 0}>"
"<Node id=10573 labels={'Expression'} properties={'name': 'Expression41', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15716 start_node_id=10573 end_node_id=10574 nodes=(10573, 10574) type=Port_Of properties={}>","<Node id=10574 labels={'Opo'} properties={'name': 'dEdt', 'order_att': 5, 'value': '', 'order_box': 0}>"
"<Node id=10600 labels={'Abstract'} properties={'name': 'pack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': '[]', 'value_type': 'List'}, 'order_box': 0}>","<Relationship id=15782 start_node_id=10600 end_node_id=10574 nodes=(10600, 10574) type=Wire properties={'index': 1}>","<Node id=10574 labels={'Opo'} properties={'name': 'dEdt', 'order_att': 5, 'value': '', 'order_box': 0}>"
"<Node id=10573 labels={'Expression'} properties={'name': 'Expression41', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15717 start_node_id=10573 end_node_id=10575 nodes=(10573, 10575) type=Port_Of properties={}>","<Node id=10575 labels={'Opi'} properties={'name': 'un-named', 'order_att': 5, 'value': '', 'order_box': 0}>"
"<Node id=10581 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15731 start_node_id=10581 end_node_id=10575 nodes=(10581, 10575) type=Wire properties={'index': 0}>","<Node id=10575 labels={'Opi'} properties={'name': 'un-named', 'order_att': 5, 'value': '', 'order_box': 0}>"
"<Node id=10573 labels={'Expression'} properties={'name': 'Expression41', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15718 start_node_id=10573 end_node_id=10576 nodes=(10573, 10576) type=Port_Of properties={}>","<Node id=10576 labels={'Opi'} properties={'name': 'S', 'order_att': 5, 'value': '', 'order_box': 0}>"
"<Node id=10581 labels={'Primitive'} properties={'name': 'ast.Mult', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15732 start_node_id=10581 end_node_id=10576 nodes=(10581, 10576) type=Wire properties={'index': 1}>","<Node id=10576 labels={'Opi'} properties={'name': 'S', 'order_att': 5, 'value': '', 'order_box': 0}>"
